order_id,timestamp,symbol,side,qty,price,status
AR1001-00001,2026-07-01 09:37:00,NIFTY 07JUL26 24500 PE,BUY,75,41.75,COMPLETE
AR1001-00002,2026-07-01 09:58:00,NIFTY 07JUL26 24500 PE,BUY,75,38.0,COMPLETE
AR1001-00003,2026-07-01 10:34:00,NIFTY 07JUL26 24500 PE,SELL,150,32.1,COMPLETE
AR1001-00004,2026-07-01 10:55:00,NIFTY 07JUL26 24400 CE,BUY,150,54.5,COMPLETE
AR1001-00005,2026-07-01 11:07:00,NIFTY 07JUL26 24400 CE,SELL,150,49.35,COMPLETE
AR1001-00006,2026-07-01 11:37:00,NIFTY 07JUL26 24250 PE,BUY,150,140.45,COMPLETE
AR1001-00007,2026-07-01 11:46:00,NIFTY 07JUL26 24250 PE,BUY,150,125.8,COMPLETE
AR1001-00008,2026-07-01 12:17:00,NIFTY 07JUL26 24250 PE,SELL,300,91.8,COMPLETE
AR1001-00009,2026-07-01 12:41:00,NIFTY 07JUL26 24050 PE,BUY,75,81.8,COMPLETE
AR1001-00010,2026-07-01 13:17:00,NIFTY 07JUL26 24050 PE,SELL,75,98.3,COMPLETE
AR1001-00011,2026-07-01 13:47:00,NIFTY 07JUL26 24000 CE,BUY,75,81.55,COMPLETE
AR1001-00012,2026-07-01 13:58:00,NIFTY 07JUL26 24000 CE,SELL,75,69.1,COMPLETE
AR1001-00013,2026-07-02 09:17:00,NIFTY 07JUL26 24200 CE,BUY,75,84.0,COMPLETE
AR1001-00014,2026-07-02 09:27:00,NIFTY 07JUL26 24200 CE,SELL,75,113.65,COMPLETE
AR1001-00015,2026-07-02 09:34:00,NIFTY 07JUL26 24400 CE,BUY,75,96.25,COMPLETE
AR1001-00016,2026-07-02 10:28:00,NIFTY 07JUL26 24400 CE,SELL,75,93.7,COMPLETE
AR1001-00017,2026-07-02 10:49:00,NIFTY 07JUL26 24100 PE,BUY,150,51.05,COMPLETE
AR1001-00018,2026-07-02 11:28:00,NIFTY 07JUL26 24100 PE,SELL,150,53.25,COMPLETE
AR1001-00019,2026-07-02 11:48:00,NIFTY 07JUL26 24750 PE,BUY,75,84.15,COMPLETE
AR1001-00020,2026-07-02 12:25:00,NIFTY 07JUL26 24750 PE,SELL,75,82.0,COMPLETE
AR1001-00021,2026-07-03 09:27:00,NIFTY 07JUL26 24550 PE,BUY,75,79.6,COMPLETE
