order_id,timestamp,symbol,side,qty,price,status
SR1001-00001,2026-07-01 09:36:00,NIFTY 07JUL26 24200 CE,BUY,75,72.2,COMPLETE
SR1001-00002,2026-07-01 10:05:00,NIFTY 07JUL26 24200 CE,SELL,75,72.0,COMPLETE
SR1001-00003,2026-07-01 10:13:00,NIFTY 07JUL26 24100 CE,BUY,150,88.85,COMPLETE
SR1001-00004,2026-07-01 11:10:00,NIFTY 07JUL26 24100 CE,SELL,150,124.7,COMPLETE
SR1001-00005,2026-07-01 11:41:00,NIFTY 07JUL26 24200 CE,BUY,75,138.5,COMPLETE
SR1001-00006,2026-07-01 12:39:00,NIFTY 07JUL26 24200 CE,SELL,75,173.3,COMPLETE
SR1001-00007,2026-07-17 09:31:00,NIFTY 21JUL26 25000 PE,BUY,75,102.55,COMPLETE
SR1001-00008,2026-07-17 09:47:00,NIFTY 21JUL26 25000 PE,SELL,75,88.15,COMPLETE
SR1001-00009,2026-07-17 10:15:00,NIFTY 21JUL26 24550 CE,BUY,150,120.8,COMPLETE
SR1001-00010,2026-07-17 11:08:00,NIFTY 21JUL26 24550 CE,SELL,150,141.75,COMPLETE
SR1001-00011,2026-07-27 09:39:00,NIFTY 28JUL26 24350 CE,BUY,75,122.35,COMPLETE
SR1001-00012,2026-07-27 10:04:00,NIFTY 28JUL26 24350 CE,SELL,75,115.65,COMPLETE
SR1001-00013,2026-07-27 10:10:00,NIFTY 28JUL26 24050 PE,BUY,150,79.9,COMPLETE
SR1001-00014,2026-07-27 10:53:00,NIFTY 28JUL26 24050 PE,SELL,150,86.2,COMPLETE
SR1001-00015,2026-07-30 09:19:00,NIFTY 04AUG26 25000 CE,BUY,75,192.3,COMPLETE
SR1001-00016,2026-07-30 09:35:00,NIFTY 04AUG26 25000 CE,SELL,75,159.8,COMPLETE
SR1001-00017,2026-07-30 10:08:00,NIFTY 04AUG26 24400 PE,BUY,150,122.95,COMPLETE
SR1001-00018,2026-07-30 10:57:00,NIFTY 04AUG26 24400 PE,SELL,150,114.8,COMPLETE
SR001-00001,2026-08-13 09:38:00,NIFTY 18AUG26 24400 CE,BUY,75,109.9,COMPLETE
SR001-00002,2026-08-13 10:30:00,NIFTY 18AUG26 24400 CE,SELL,75,95.9,COMPLETE
SR001-00003,2026-08-13 10:49:00,NIFTY 18AUG26 24750 PE,BUY,150,64.4,COMPLETE
SR001-00004,2026-08-13 11:41:00,NIFTY 18AUG26 24750 PE,SELL,150,70.15,COMPLETE
SR001-00005,2026-08-13 11:57:00,NIFTY 18AUG26 24450 CE,BUY,75,108.5,COMPLETE
SR001-00006,2026-08-13 12:08:00,NIFTY 18AUG26 24450 CE,SELL,75,107.2,COMPLETE
SR001-00007,2026-08-14 09:28:00,NIFTY 18AUG26 24500 CE,BUY,75,180.05,COMPLETE
SR001-00008,2026-08-14 09:47:00,NIFTY 18AUG26 24500 CE,SELL,75,166.55,COMPLETE
SR001-00009,2026-08-14 10:18:00,NIFTY 18AUG26 24950 CE,BUY,150,175.95,COMPLETE
SR001-00010,2026-08-14 11:15:00,NIFTY 18AUG26 24950 CE,SELL,150,166.3,COMPLETE
SR001-00011,2026-08-24 09:39:00,NIFTY 25AUG26 24100 CE,BUY,75,142.55,COMPLETE
SR001-00012,2026-08-24 10:00:00,NIFTY 25AUG26 24100 CE,SELL,75,108.0,COMPLETE
SR001-00013,2026-08-24 10:32:00,NIFTY 25AUG26 24000 PE,BUY,150,206.75,COMPLETE
SR001-00014,2026-08-24 11:00:00,NIFTY 25AUG26 24000 PE,SELL,150,181.4,COMPLETE
SR001-00015,2026-08-28 09:27:00,NIFTY 01SEP26 24800 CE,BUY,75,196.4,COMPLETE
SR001-00016,2026-08-28 10:07:00,NIFTY 01SEP26 24800 CE,SELL,75,165.65,COMPLETE
SR001-00017,2026-08-28 10:32:00,NIFTY 01SEP26 24050 CE,BUY,150,141.75,COMPLETE
SR001-00018,2026-08-28 11:05:00,NIFTY 01SEP26 24050 CE,SELL,150,139.9,COMPLETE
