order_id,timestamp,symbol,side,qty,price,status
VK1001-00001,2026-07-01 09:37:00,NIFTY 07JUL26 24150 CE,BUY,75,90.05,COMPLETE
VK1001-00002,2026-07-01 10:40:00,NIFTY 07JUL26 24150 CE,SELL,75,110.45,COMPLETE
VK1001-00003,2026-07-01 11:00:00,NIFTY 07JUL26 24150 PE,BUY,75,75.75,COMPLETE
VK1001-00004,2026-07-01 11:49:00,NIFTY 07JUL26 24150 PE,SELL,75,69.9,COMPLETE
VK1001-00005,2026-07-01 11:56:00,NIFTY 07JUL26 25000 CE,BUY,150,100.55,COMPLETE
VK1001-00006,2026-07-01 12:32:00,NIFTY 07JUL26 25000 CE,SELL,150,122.75,COMPLETE
VK1001-00007,2026-07-01 12:43:00,NIFTY 07JUL26 24250 PE,BUY,150,70.05,COMPLETE
VK1001-00008,2026-07-01 13:52:00,NIFTY 07JUL26 24250 PE,SELL,150,54.25,COMPLETE
VK1001-00009,2026-07-01 14:31:00,NIFTY 07JUL26 24050 CE,BUY,75,202.3,COMPLETE
VK1001-00010,2026-07-01 15:06:00,NIFTY 07JUL26 24050 CE,SELL,75,196.45,COMPLETE
VK1001-00011,2026-07-02 09:34:00,NIFTY 07JUL26 24100 CE,BUY,75,120.4,COMPLETE
VK1001-00012,2026-07-02 10:08:00,NIFTY 07JUL26 24100 CE,SELL,75,114.45,COMPLETE
VK1001-00013,2026-07-02 10:19:00,NIFTY 07JUL26 24400 PE,BUY,150,73.9,COMPLETE
VK1001-00014,2026-07-02 10:31:00,NIFTY 07JUL26 24400 PE,SELL,150,80.1,COMPLETE
VK1001-00015,2026-07-02 11:01:00,NIFTY 07JUL26 24050 PE,BUY,150,96.85,COMPLETE
VK1001-00016,2026-07-02 12:13:00,NIFTY 07JUL26 24050 PE,SELL,150,78.45,COMPLETE
VK1001-00017,2026-07-02 12:49:00,NIFTY 07JUL26 24400 CE,BUY,75,185.7,COMPLETE
VK1001-00018,2026-07-02 13:21:00,NIFTY 07JUL26 24400 CE,SELL,75,220.85,COMPLETE
VK1001-00019,2026-07-02 13:47:00,NIFTY 07JUL26 24750 PE,BUY,75,76.7,COMPLETE
VK1001-00020,2026-07-02 14:30:00,NIFTY 07JUL26 24750 PE,SELL,75,83.45,COMPLETE
VK1001-00021,2026-07-03 09:29:00,NIFTY 07JUL26 24050 CE,BUY,150,63.9,COMPLETE
VK1001-00022,2026-07-03 10:15:00,NIFTY 07JUL26 24050 CE,SELL,150,85.7,COMPLETE
VK1001-00023,2026-07-03 10:21:00,NIFTY 07JUL26 24950 PE,BUY,75,148.7,COMPLETE
VK1001-00024,2026-07-03 10:50:00,NIFTY 07JUL26 24950 PE,SELL,75,128.9,COMPLETE
VK1001-00025,2026-07-03 11:17:00,NIFTY 07JUL26 24200 PE,BUY,75,149.6,COMPLETE
VK1001-00026,2026-07-03 11:59:00,NIFTY 07JUL26 24200 PE,SELL,75,135.7,COMPLETE
VK1001-00027,2026-07-03 12:35:00,NIFTY 07JUL26 24650 PE,BUY,150,80.3,COMPLETE
VK1001-00028,2026-07-03 13:15:00,NIFTY 07JUL26 24650 PE,SELL,150,81.05,COMPLETE
VK1001-00029,2026-07-03 13:27:00,NIFTY 07JUL26 24000 PE,BUY,75,163.45,COMPLETE
VK1001-00030,2026-07-03 14:02:00,NIFTY 07JUL26 24000 PE,SELL,75,195.8,COMPLETE
VK1001-00031,2026-07-06 09:19:00,NIFTY 07JUL26 24850 PE,BUY,75,191.85,COMPLETE
VK1001-00032,2026-07-06 09:33:00,NIFTY 07JUL26 24850 PE,SELL,75,169.85,COMPLETE
VK1001-00033,2026-07-06 10:05:00,NIFTY 07JUL26 24800 PE,BUY,75,64.25,COMPLETE
VK1001-00034,2026-07-06 11:06:00,NIFTY 07JUL26 24800 PE,SELL,75,64.8,COMPLETE
VK1001-00035,2026-07-06 11:08:00,NIFTY 07JUL26 24400 CE,BUY,75,93.5,COMPLETE
VK1001-00036,2026-07-06 11:21:00,NIFTY 07JUL26 24400 CE,SELL,75,80.55,COMPLETE
VK1001-00037,2026-07-06 11:30:00,NIFTY 07JUL26 24150 CE,BUY,75,194.05,COMPLETE
VK1001-00038,2026-07-06 11:56:00,NIFTY 07JUL26 24150 CE,SELL,75,233.85,COMPLETE
VK1001-00039,2026-07-06 11:59:00,NIFTY 07JUL26 24900 CE,BUY,75,114.75,COMPLETE
VK1001-00040,2026-07-06 12:32:00,NIFTY 07JUL26 24900 CE,SELL,75,132.45,COMPLETE
VK1001-00041,2026-07-06 13:10:00,NIFTY 07JUL26 24100 PE,BUY,150,135.9,COMPLETE
VK1001-00042,2026-07-06 13:41:00,NIFTY 07JUL26 24100 PE,SELL,150,90.6,COMPLETE
VK1001-00043,2026-07-07 09:31:00,NIFTY 07JUL26 24350 CE,BUY,150,89.4,COMPLETE
VK1001-00044,2026-07-07 10:33:00,NIFTY 07JUL26 24350 CE,SELL,150,99.5,COMPLETE
VK1001-00045,2026-07-07 10:38:00,NIFTY 14JUL26 24600 CE,BUY,75,88.45,COMPLETE
VK1001-00046,2026-07-07 11:11:00,NIFTY 14JUL26 24600 CE,SELL,75,64.45,COMPLETE
VK1001-00047,2026-07-07 11:43:00,NIFTY 14JUL26 24300 PE,BUY,150,121.95,COMPLETE
VK1001-00048,2026-07-07 12:56:00,NIFTY 14JUL26 24300 PE,SELL,150,148.0,COMPLETE
VK1001-00049,2026-07-07 13:13:00,NIFTY 07JUL26 24850 PE,BUY,150,61.9,COMPLETE
VK1001-00050,2026-07-07 14:18:00,NIFTY 07JUL26 24850 PE,SELL,150,36.75,COMPLETE
VK1001-00051,2026-07-07 14:45:00,NIFTY 07JUL26 24000 CE,BUY,75,121.85,COMPLETE
VK1001-00052,2026-07-07 15:07:00,NIFTY 07JUL26 24000 CE,SELL,75,108.0,COMPLETE
VK1001-00053,2026-07-08 09:19:00,NIFTY 14JUL26 24850 PE,BUY,150,166.45,COMPLETE
VK1001-00054,2026-07-08 09:57:00,NIFTY 14JUL26 24850 PE,SELL,150,221.15,COMPLETE
VK1001-00055,2026-07-08 10:21:00,NIFTY 14JUL26 24000 PE,BUY,75,177.3,COMPLETE
VK1001-00056,2026-07-08 11:05:00,NIFTY 14JUL26 24000 PE,SELL,75,168.6,COMPLETE
VK1001-00057,2026-07-08 11:37:00,NIFTY 14JUL26 25000 CE,BUY,150,122.05,COMPLETE
VK1001-00058,2026-07-08 12:12:00,NIFTY 14JUL26 25000 CE,SELL,150,137.3,COMPLETE
VK1001-00059,2026-07-08 12:14:00,NIFTY 14JUL26 24000 PE,BUY,75,77.2,COMPLETE
VK1001-00060,2026-07-08 13:06:00,NIFTY 14JUL26 24000 PE,SELL,75,65.6,COMPLETE
VK1001-00061,2026-07-08 13:31:00,NIFTY 14JUL26 24100 PE,BUY,150,80.75,COMPLETE
VK1001-00062,2026-07-08 14:43:00,NIFTY 14JUL26 24100 PE,SELL,150,92.7,COMPLETE
VK1001-00063,2026-07-09 09:39:00,NIFTY 14JUL26 24500 PE,BUY,75,117.45,COMPLETE
VK1001-00064,2026-07-09 10:54:00,NIFTY 14JUL26 24500 PE,SELL,75,88.55,COMPLETE
VK1001-00065,2026-07-09 11:31:00,NIFTY 14JUL26 24000 CE,BUY,75,159.65,COMPLETE
VK1001-00066,2026-07-09 11:36:00,NIFTY 14JUL26 24000 CE,SELL,75,168.1,COMPLETE
VK1001-00067,2026-07-09 11:50:00,NIFTY 14JUL26 24500 PE,BUY,150,89.6,COMPLETE
VK1001-00068,2026-07-09 11:56:00,NIFTY 14JUL26 24500 PE,SELL,150,75.6,COMPLETE
VK1001-00069,2026-07-10 09:17:00,NIFTY 14JUL26 24550 CE,BUY,75,123.45,COMPLETE
VK1001-00070,2026-07-10 10:21:00,NIFTY 14JUL26 24550 CE,SELL,75,128.75,COMPLETE
VK1001-00071,2026-07-10 10:30:00,NIFTY 14JUL26 24750 CE,BUY,75,112.45,COMPLETE
VK1001-00072,2026-07-10 11:06:00,NIFTY 14JUL26 24750 CE,SELL,75,85.3,COMPLETE
VK1001-00073,2026-07-10 11:14:00,NIFTY 14JUL26 24750 CE,BUY,75,124.7,COMPLETE
VK1001-00074,2026-07-10 11:21:00,NIFTY 14JUL26 24750 CE,SELL,75,133.5,COMPLETE
VK1001-00075,2026-07-10 11:24:00,NIFTY 14JUL26 24700 CE,BUY,75,148.85,COMPLETE
VK1001-00076,2026-07-10 11:45:00,NIFTY 14JUL26 24700 CE,SELL,75,177.95,COMPLETE
VK1001-00077,2026-07-13 09:31:00,NIFTY 14JUL26 24600 PE,BUY,150,194.25,COMPLETE
