order_id,timestamp,symbol,side,qty,price,status
NH1001-00001,2026-07-01 09:37:00,NIFTY 07JUL26 24150 CE,BUY,75,90.05,COMPLETE
NH1001-00002,2026-07-01 10:40:00,NIFTY 07JUL26 24150 CE,SELL,75,110.9,COMPLETE
NH1001-00003,2026-07-01 10:50:00,NIFTY 07JUL26 24100 CE,BUY,75,75.75,COMPLETE
NH1001-00004,2026-07-01 11:29:00,NIFTY 07JUL26 24100 CE,SELL,75,70.3,COMPLETE
NH1001-00005,2026-07-01 12:11:00,NIFTY 07JUL26 24100 CE,BUY,75,182.4,COMPLETE
NH1001-00006,2026-07-01 13:13:00,NIFTY 07JUL26 24100 CE,SELL,75,178.65,COMPLETE
NH1001-00007,2026-07-01 14:13:00,NIFTY 07JUL26 24650 CE,BUY,75,206.1,COMPLETE
NH1001-00008,2026-07-01 14:38:00,NIFTY 07JUL26 24650 CE,SELL,75,231.1,COMPLETE
NH1001-00009,2026-07-02 09:33:00,NIFTY 07JUL26 24050 CE,BUY,75,77.35,COMPLETE
NH1001-00010,2026-07-02 10:48:00,NIFTY 07JUL26 24050 CE,SELL,75,73.75,COMPLETE
NH1001-00011,2026-07-02 11:37:00,NIFTY 07JUL26 24400 CE,BUY,75,119.3,COMPLETE
NH1001-00012,2026-07-02 12:22:00,NIFTY 07JUL26 24400 CE,SELL,75,74.95,COMPLETE
NH1001-00013,2026-07-02 12:35:00,NIFTY 07JUL26 24250 CE,BUY,75,67.25,COMPLETE
NH1001-00014,2026-07-02 13:07:00,NIFTY 07JUL26 24250 CE,SELL,75,55.0,COMPLETE
NH1001-00015,2026-07-02 13:36:00,NIFTY 07JUL26 24100 CE,BUY,75,124.0,COMPLETE
NH1001-00016,2026-07-02 13:43:00,NIFTY 07JUL26 24100 CE,SELL,75,168.85,COMPLETE
NH1001-00017,2026-07-02 14:06:00,NIFTY 07JUL26 24850 PE,BUY,75,129.7,COMPLETE
NH1001-00018,2026-07-02 14:36:00,NIFTY 07JUL26 24850 PE,SELL,75,124.75,COMPLETE
NH1001-00019,2026-07-03 09:39:00,NIFTY 07JUL26 24450 CE,BUY,75,124.7,COMPLETE
