habit,planted effect,months,detected,watching,of
Neha expiry-day,-10%/trade,1,1,7,30
Neha expiry-day,-10%/trade,2,5,8,30
Neha expiry-day,-18%/trade,1,7,10,30
Neha expiry-day,-18%/trade,2,16,5,30
Neha expiry-day,-28%/trade,1,18,5,30
Neha expiry-day,-28%/trade,2,26,3,30
Neha expiry-day,-39%/trade,1,26,4,30
Neha expiry-day,-39%/trade,2,30,0,30
Arjun averaging-down,-12% added lots,1,14,14,30
Arjun size-up,2x after loss,1,28,0,30
Vikram control (false alarms),none planted,1,1,2,30
Arjun averaging-down,-12% added lots,2,27,3,30
Arjun size-up,2x after loss,2,30,0,30
Vikram control (false alarms),none planted,2,0,0,30
